,Part,variable,value
0,1,Human,62.65326633
1,2,Human,61.66080402
2,3,Human,66.28282828
3,4,Human,59.71319797
4,5,Human,62.61403509
5,6,Human,60.5775
6,7,Human,56.46365915
7,8,Human,62.0575
8,9,Human,55.36090226
9,10,Human,57.255
10,11,Human,54.97481108
11,12,Human,62.245
12,13,Human,60.15829146
13,14,Human,71.1975
14,15,Human,69.58291457
15,16,Human,60.1625
16,17,Human,66.13065327
17,18,Human,56.49373434
18,19,Human,60.7875
19,20,Human,51.115
20,21,Human,65.3625
21,22,Human,68.24494949
22,23,Human,66.81954887
23,24,Human,70.94670051
24,25,Human,47.19845361
25,26,Human,53.48994975
26,27,Human,62.32241814
27,28,Human,51.95696203
28,29,Human,51.74371859
29,30,Human,57.36020151
30,1,BestFit,60
31,2,BestFit,63.3
32,3,BestFit,67.8
33,4,BestFit,50.5
34,5,BestFit,58.9
35,6,BestFit,57.6
36,7,BestFit,56.9
37,8,BestFit,62.8
38,9,BestFit,53.6
39,10,BestFit,57.7
40,11,BestFit,51
41,12,BestFit,59.2
42,13,BestFit,60.9
43,14,BestFit,67.2
44,15,BestFit,68.5
45,16,BestFit,58.5
46,17,BestFit,66
47,18,BestFit,47.4
48,19,BestFit,58
49,20,BestFit,48.5
50,21,BestFit,65.2
51,22,BestFit,66.6
52,23,BestFit,65.3
53,24,BestFit,67.1
54,25,BestFit,43.9
55,26,BestFit,65.7
56,27,BestFit,62.3
57,28,BestFit,50.7
58,29,BestFit,54.3
59,30,BestFit,56.7
