,Part,variable,value
0,1,Human,51
1,2,Human,58
2,3,Human,52
3,4,Human,53
4,5,Human,50
5,6,Human,53
6,7,Human,59
7,8,Human,52
8,9,Human,48
9,10,Human,54
10,11,Human,50
11,12,Human,50
12,13,Human,46
13,14,Human,41
14,15,Human,40
15,16,Human,51
16,17,Human,56
17,18,Human,41
18,19,Human,42
19,20,Human,45
20,21,Human,61
21,22,Human,41
22,23,Human,47
23,24,Human,44
24,25,Human,40
25,26,Human,54
26,27,Human,55
27,28,Human,23
28,29,Human,42
29,30,Human,45
30,1,BestFit,48
31,2,BestFit,46
32,3,BestFit,48
33,4,BestFit,42
34,5,BestFit,48
35,6,BestFit,48
36,7,BestFit,47
37,8,BestFit,56
38,9,BestFit,52
39,10,BestFit,49
40,11,BestFit,57
41,12,BestFit,53
42,13,BestFit,56
43,14,BestFit,66
44,15,BestFit,57
45,16,BestFit,53
46,17,BestFit,59
47,18,BestFit,43
48,19,BestFit,53
49,20,BestFit,46
50,21,BestFit,54
51,22,BestFit,53
52,23,BestFit,54
53,24,BestFit,46
54,25,BestFit,49
55,26,BestFit,49
56,27,BestFit,55
57,28,BestFit,46
58,29,BestFit,54
59,30,BestFit,52
