,Part,variable,value
0,1,Human,62.65326633
1,2,Human,61.66080402
2,3,Human,66.28282828
3,4,Human,59.71319797
4,5,Human,62.61403509
5,6,Human,60.5775
6,7,Human,56.46365915
7,8,Human,62.0575
8,9,Human,55.36090226
9,10,Human,57.255
10,11,Human,54.97481108
11,12,Human,62.245
12,13,Human,60.15829146
13,14,Human,71.1975
14,15,Human,69.58291457
15,16,Human,60.1625
16,17,Human,66.13065327
17,18,Human,56.49373434
18,19,Human,60.7875
19,20,Human,51.115
20,21,Human,65.3625
21,22,Human,68.24494949
22,23,Human,66.81954887
23,24,Human,70.94670051
24,25,Human,47.19845361
25,26,Human,53.48994975
26,27,Human,62.32241814
27,28,Human,51.95696203
28,29,Human,51.74371859
29,30,Human,57.36020151
30,1,Bias,51.575
31,2,Bias,37.7
32,3,Bias,50.2325
33,4,Bias,41.48
34,5,Bias,53.57
35,6,Bias,51.86
36,7,Bias,44.9825
37,8,Bias,46.725
38,9,Bias,44.6925
39,10,Bias,49.055
40,11,Bias,46.2675
41,12,Bias,44.685
42,13,Bias,36.7425
43,14,Bias,57.06
44,15,Bias,60.9275
45,16,Bias,49.785
46,17,Bias,53.8075
47,18,Bias,48.2275
48,19,Bias,39.125
49,20,Bias,43.365
50,21,Bias,59.3525
51,22,Bias,54.07
52,23,Bias,56.815
53,24,Bias,49.1875
54,25,Bias,35.745
55,26,Bias,45.8475
56,27,Bias,48.245
57,28,Bias,46.755
58,29,Bias,46.08
59,30,Bias,39.395
60,1,eGreedy,58.055
61,2,eGreedy,58.77
62,3,eGreedy,60.295
63,4,eGreedy,57.2625
64,5,eGreedy,57.64
65,6,eGreedy,56.395
66,7,eGreedy,53.465
67,8,eGreedy,55.97
68,9,eGreedy,52.3575
69,10,eGreedy,56.02
70,11,eGreedy,49.145
71,12,eGreedy,60.2875
72,13,eGreedy,54.575
73,14,eGreedy,63.7275
74,15,eGreedy,69.05
75,16,eGreedy,56.055
76,17,eGreedy,60.3375
77,18,eGreedy,54.6825
78,19,eGreedy,62.625
79,20,eGreedy,51.5725
80,21,eGreedy,59.4775
81,22,eGreedy,62.8675
82,23,eGreedy,59.395
83,24,eGreedy,64.3925
84,25,eGreedy,51.7675
85,26,eGreedy,63.415
86,27,eGreedy,59.25
87,28,eGreedy,54.0025
88,29,eGreedy,55.88
89,30,eGreedy,55.2325
90,1,Soft,60.8425
91,2,Soft,61.625
92,3,Soft,65.025
93,4,Soft,52.23
94,5,Soft,59.7975
95,6,Soft,56.2875
96,7,Soft,55.5
97,8,Soft,62.59
98,9,Soft,54.5125
99,10,Soft,56.9525
100,11,Soft,51.055
101,12,Soft,60.8275
102,13,Soft,59.9275
103,14,Soft,68.8225
104,15,Soft,66.23
105,16,Soft,58.4325
106,17,Soft,61.0775
107,18,Soft,54.5
108,19,Soft,57.295
109,20,Soft,47.67
110,21,Soft,65.96
111,22,Soft,68.9975
112,23,Soft,66.0775
113,24,Soft,67.9125
114,25,Soft,44.685
115,26,Soft,51.9475
116,27,Soft,61.17
117,28,Soft,50.6425
118,29,Soft,48.63
119,30,Soft,54.57
120,1,WSLS,65.6525
121,2,WSLS,65.34
