,Part,variable,value
0,1,eGreedy,0.34388887
1,2,eGreedy,0.355618653
2,3,eGreedy,0.36898783
3,4,eGreedy,0.357021399
4,5,eGreedy,0.299983281
5,6,eGreedy,0.385126867
6,7,eGreedy,0.355333854
7,8,eGreedy,0.459109997
8,9,eGreedy,0.437436713
9,10,eGreedy,0.349284462
10,11,eGreedy,0.521293419
11,12,eGreedy,0.384611647
12,13,eGreedy,0.380949289
13,14,eGreedy,0.411182981
14,15,eGreedy,0.279928802
15,16,eGreedy,0.353078782
16,17,eGreedy,0.4737349
17,18,eGreedy,0.179023812
18,19,eGreedy,0.135577086
19,20,eGreedy,0.190568107
20,21,eGreedy,0.367969787
21,22,eGreedy,0.362457937
22,23,eGreedy,0.504162625
23,24,eGreedy,0.52047652
24,25,eGreedy,-0.082827078
25,26,eGreedy,-0.326983043
26,27,eGreedy,0.325005015
27,28,eGreedy,0.084755561
28,29,eGreedy,-0.002419393
29,30,eGreedy,0.260668459
30,1,Softmax,0.348985158
31,2,Softmax,0.427042214
32,3,Softmax,0.409933303
33,4,Softmax,0.257830001
34,5,Softmax,0.248896678
35,6,Softmax,0.303970185
36,7,Softmax,0.477487641
37,8,Softmax,0.464230875
38,9,Softmax,0.500035043
39,10,Softmax,0.428886838
40,11,Softmax,0.497812017
41,12,Softmax,0.374258562
42,13,Softmax,0.500941429
43,14,Softmax,0.377788721
44,15,Softmax,0.280888537
45,16,Softmax,0.424417158
46,17,Softmax,0.464036662
47,18,Softmax,0.188271357
48,19,Softmax,0.138098058
49,20,Softmax,0.168173051
50,21,Softmax,0.437753088
51,22,Softmax,0.497563241
52,23,Softmax,0.552741858
53,24,Softmax,0.493884747
54,25,Softmax,0.151141464
55,26,Softmax,0.274193639
56,27,Softmax,0.427505879
57,28,Softmax,0.152910911
58,29,Softmax,0.215484513
59,30,Softmax,0.277707282
60,1,WSLS,0.353629783
61,2,WSLS,0.33914928
62,3,WSLS,0.350261483
63,4,WSLS,0.199467559
64,5,WSLS,0.259491459
65,6,WSLS,0.243963205
66,7,WSLS,0.360820661
67,8,WSLS,0.363228367
68,9,WSLS,0.397341051
69,10,WSLS,0.226256834
70,11,WSLS,0.309948133
71,12,WSLS,0.336413443
72,13,WSLS,0.292978837
73,14,WSLS,0.312989387
74,15,WSLS,0.304341047
75,16,WSLS,0.382075236
76,17,WSLS,0.434332816
77,18,WSLS,0.231674821
78,19,WSLS,0.208054518
79,20,WSLS,0.221036788
80,21,WSLS,0.311931787
81,22,WSLS,0.395229038
82,23,WSLS,0.350058137
83,24,WSLS,0.440478959
