,Part,variable,value
0,1,Human,62.65326633
1,2,Human,61.66080402
2,3,Human,66.28282828
3,4,Human,59.71319797
4,5,Human,62.61403509
5,6,Human,60.5775
6,7,Human,56.46365915
7,8,Human,62.0575
8,9,Human,55.36090226
9,10,Human,57.255
10,11,Human,54.97481108
11,12,Human,62.245
12,13,Human,60.15829146
13,14,Human,71.1975
14,15,Human,69.58291457
15,16,Human,60.1625
16,17,Human,66.13065327
17,18,Human,56.49373434
18,19,Human,60.7875
19,20,Human,51.115
20,21,Human,65.3625
21,22,Human,68.24494949
22,23,Human,66.81954887
23,24,Human,70.94670051
24,25,Human,47.19845361
25,26,Human,53.48994975
26,27,Human,62.32241814
27,28,Human,51.95696203
28,29,Human,51.74371859
29,30,Human,57.36020151
30,1,BestFit,64.12326523
31,2,BestFit,62.6972801
32,3,BestFit,66.09444157
33,4,BestFit,59.60498089
34,5,BestFit,63.75540638
35,6,BestFit,62.67587159
36,7,BestFit,58.80508562
37,8,BestFit,61.56897324
38,9,BestFit,52.99558662
39,10,BestFit,57.52717718
40,11,BestFit,54.22944477
41,12,BestFit,62.60755782
42,13,BestFit,62.53648061
43,14,BestFit,71.36080048
44,15,BestFit,72.0336764
45,16,BestFit,60.21870826
46,17,BestFit,66.64486124
47,18,BestFit,59.02489423
48,19,BestFit,60.54599594
49,20,BestFit,52.07335088
50,21,BestFit,64.15007602
51,22,BestFit,70.00699842
52,23,BestFit,65.02592391
53,24,BestFit,71.40848485
54,25,BestFit,55.39820598
55,26,BestFit,nan
56,27,BestFit,63.10712732
57,28,BestFit,52.99619472
58,29,BestFit,50.56648326
59,30,BestFit,43.41525146
