,Part,variable,value
0,1,eGreedy,0.345249953
1,2,eGreedy,0.34150541
2,3,eGreedy,0.420488898
3,4,eGreedy,0.471009666
4,5,eGreedy,0.311809812
5,6,eGreedy,0.405744098
6,7,eGreedy,0.325878929
7,8,eGreedy,0.446491425
8,9,eGreedy,0.418058716
9,10,eGreedy,0.341865312
10,11,eGreedy,0.5469356
11,12,eGreedy,0.428217804
12,13,eGreedy,0.434712477
13,14,eGreedy,0.441298489
14,15,eGreedy,0.303638133
15,16,eGreedy,0.328837183
16,17,eGreedy,0.513697685
17,18,eGreedy,0.212657763
18,19,eGreedy,0.171137862
19,20,eGreedy,0.183858998
20,21,eGreedy,0.330246374
21,22,eGreedy,0.35461534
22,23,eGreedy,0.529973579
23,24,eGreedy,0.596405379
24,25,eGreedy,-0.001376367
25,26,eGreedy,-0.030185626
26,27,eGreedy,0.31653252
27,28,eGreedy,0.067953407
28,29,eGreedy,0.013922372
29,30,eGreedy,0.308153299
30,1,Softmax,0.308688018
31,2,Softmax,0.289361161
32,3,Softmax,0.362962026
33,4,Softmax,0.450227663
34,5,Softmax,0.330050318
35,6,Softmax,0.417533809
36,7,Softmax,0.323062998
37,8,Softmax,0.404686705
38,9,Softmax,0.430070659
39,10,Softmax,0.319651106
40,11,Softmax,0.611737246
41,12,Softmax,0.406860539
42,13,Softmax,0.496698596
43,14,Softmax,0.471915294
44,15,Softmax,0.316512036
45,16,Softmax,0.28865867
46,17,Softmax,0.526166054
47,18,Softmax,0.243236726
48,19,Softmax,0.165002677
49,20,Softmax,0.190519556
50,21,Softmax,0.309990815
51,22,Softmax,0.423703485
52,23,Softmax,0.561493294
53,24,Softmax,0.643211702
54,25,Softmax,-0.015857293
55,26,Softmax,-0.063559671
56,27,Softmax,0.329171464
57,28,Softmax,0.048253166
58,29,Softmax,0.023366121
59,30,Softmax,0.276393171
60,1,WSLS,0.413412281
61,2,WSLS,0.460873282
62,3,WSLS,0.482185148
63,4,WSLS,0.34272067
64,5,WSLS,0.297002072
65,6,WSLS,0.357928576
66,7,WSLS,0.366896442
67,8,WSLS,0.474672764
68,9,WSLS,0.550812403
69,10,WSLS,0.28997401
70,11,WSLS,0.436503433
71,12,WSLS,0.506406717
72,13,WSLS,0.451230894
73,14,WSLS,0.391908187
74,15,WSLS,0.420780803
75,16,WSLS,0.470212274
76,17,WSLS,0.627004291
77,18,WSLS,0.446550283
78,19,WSLS,0.243798741
79,20,WSLS,0.287212791
