,Part,variable,value
0,1,Human,62.65326633
1,2,Human,61.66080402
2,3,Human,66.28282828
3,4,Human,59.71319797
4,5,Human,62.61403509
5,6,Human,60.5775
6,7,Human,56.46365915
7,8,Human,62.0575
8,9,Human,55.36090226
9,10,Human,57.255
10,11,Human,54.97481108
11,12,Human,62.245
12,13,Human,60.15829146
13,14,Human,71.1975
14,15,Human,69.58291457
15,16,Human,60.1625
16,17,Human,66.13065327
17,18,Human,56.49373434
18,19,Human,60.7875
19,20,Human,51.115
20,21,Human,65.3625
21,22,Human,68.24494949
22,23,Human,66.81954887
23,24,Human,70.94670051
24,25,Human,47.19845361
25,26,Human,53.48994975
26,27,Human,62.32241814
27,28,Human,51.95696203
28,29,Human,51.74371859
29,30,Human,57.36020151
30,1,Bias,52.00525558
31,2,Bias,44.48797862
32,3,Bias,53.84397673
33,4,Bias,51.18719798
34,5,Bias,54.27536152
35,6,Bias,47.38387765
36,7,Bias,45.42830035
37,8,Bias,53.50583194
38,9,Bias,46.77573456
39,10,Bias,45.70523104
40,11,Bias,43.446887
41,12,Bias,51.86144176
42,13,Bias,38.87696898
43,14,Bias,58.31114769
44,15,Bias,53.06155319
45,16,Bias,50.7310138
46,17,Bias,50.08185041
47,18,Bias,48.95864036
48,19,Bias,53.25886388
49,20,Bias,44.75651528
50,21,Bias,58.26228384
51,22,Bias,52.32453244
52,23,Bias,56.37965489
53,24,Bias,49.98470883
54,25,Bias,42.78268307
55,26,Bias,52.09172308
56,27,Bias,51.60737662
57,28,Bias,48.16408438
58,29,Bias,47.58682696
59,30,Bias,42.25855709
60,1,eGreedy,58.3425
61,2,eGreedy,55.9675
62,3,eGreedy,65.7025
63,4,eGreedy,54.6975
64,5,eGreedy,59.9625
65,6,eGreedy,56.4025
66,7,eGreedy,53.19
67,8,eGreedy,57.25
68,9,eGreedy,47.97
69,10,eGreedy,46.195
70,11,eGreedy,48.9325
71,12,eGreedy,58.3675
72,13,eGreedy,58.2225
73,14,eGreedy,65.295
74,15,eGreedy,58.8775
75,16,eGreedy,56.53
76,17,eGreedy,56.22
77,18,eGreedy,57.9425
78,19,eGreedy,63.4325
79,20,eGreedy,53.4
80,21,eGreedy,58.9025
81,22,eGreedy,65.51
82,23,eGreedy,60.565
83,24,eGreedy,61.25
84,25,eGreedy,44.6625
85,26,eGreedy,53.005
86,27,eGreedy,61.045
87,28,eGreedy,55.4525
88,29,eGreedy,55.4825
89,30,eGreedy,57.6
90,1,Softmax,61.93
91,2,Softmax,61.69
92,3,Softmax,66.875
93,4,Softmax,60.41
94,5,Softmax,62.5075
95,6,Softmax,61.375
96,7,Softmax,56.4975
97,8,Softmax,62.6025
98,9,Softmax,53.0075
99,10,Softmax,58.2175
100,11,Softmax,53.2725
101,12,Softmax,62.075
102,13,Softmax,61.4875
103,14,Softmax,70.5725
104,15,Softmax,70.0575
105,16,Softmax,58.215
106,17,Softmax,60.54
107,18,Softmax,57.715
108,19,Softmax,60.8975
109,20,Softmax,51.93
110,21,Softmax,66.0725
111,22,Softmax,68.6325
112,23,Softmax,67.8025
113,24,Softmax,71.11
114,25,Softmax,49.5225
115,26,Softmax,53.7975
