P_Code,Bias_Start,EG_Eps_Start,EG_LR_Start,SM_Temp_Start,SM_LR_Start,WSLS_WS_Start,WLSL_LS_Start,UCB_Start,KFTS_Var1_Start,KFTS_Var2_Start,UCBSM_Temp_Start,UCBSM_Exp_Start,Grad_S1_Start,Grad_S2_Start,Bias_Mod,EG_Eps_Mod,EG_LR_Mod,SM_Temp_Mod,SM_LR_Mod,WSLS_WS_Mod,WLSL_LS_Mod,UCB_Mod,KFTS_Var1_Mod,KFTS_Var2_Mod,UCBSM_Temp_Start,UCBSM_Exp_Start,Grad_S1_Mod,Grad_S2_Smod
1,0.23,0.1,0.61,3.62,0.26,0.47,0.9,98,14.4803,4.92582,1.4245,1.23406,,,0.27,0.1,0.4,3.6,0.27,0.43,0.87,69.999975,14.9771,6.72041,0.779468,1.32016,,
2,0.71,0.26,0.3,2.89,0.43,0.37,0.25,15,10.5345,2.17375,6.91354,0.289928,,,0.68,0.27,0.28,2.96,0.28,0.35,0.22,15,11.6364,2.11359,6.97255,0.275708,,
3,0.9,0.45,0.45,5.44,0.89,0.93,0.33,173,5.05234,3.31254,12.5112,0.211924,,,0.7,0.45,0.32,4.77,0.81,0.9,0.3,86.999964,4.62136,7.2215,11.6585,0.190074,,
4,0.33,0.57,0.45,0.16,0.35,0.25,0.29,141,11.4007,2.70337,5.41728,0.224598,,,0.31,0.33,0.36,0.01,0.04,0.23,0.27,137,11.9752,6.29952,4.95358,0.197324,,
5,0.59,0.28,0.92,11.71,0.95,0.68,0.42,155,4.17494,4.37569,0.917661,0.124862,,,0.51,0.39,0.63,12.3,0.95,0.69,0.44,153,4.89924,4.33286,0.798938,0.160807,,
6,0.72,0.59,0.83,3.77,0.25,0.89,0.48,66,12.5221,1.78768,1.56483,0.449783,,,0.73,0.68,0.58,3.94,0.15,0.9,0.45,66,13.6607,2.39123,2.28723,0.470657,,
7,0.27,0.94,0.65,2.43,0.16,0.26,0.37,116,8.48903,8.31301,8.18776,0.426424,,,0.29,0.73,0.5,2.26,0.19,0.22,0.34,84.599965,8.35044,12.997,8.25458,0.423898,,
8,0.78,0.69,0.55,2.88,0.93,0.51,0.64,111,5.64608,9.00169,9.4307,0.237656,,,0.52,0.7,0.43,2.8,0.87,0.48,0.65,100.40002,5.35896,5.3559,9.57482,0.265085,,
9,0.24,0.59,0.75,11.59,0.9,0.46,0.15,144,13.7786,1.66157,6.99782,0.615002,,,0.28,0.47,0.54,11.55,0.84,0.47,0.14,112,13.5401,5.04136,8.01778,0.641007,,
10,0.55,0.27,0.88,9.25,0.8,0.98,0.19,5,2.71925,3.36217,4.64561,1.47245,,,0.68,0.17,0.66,9.57,0.87,0.9,0.14,1,2.37941,3.03242,4.88732,1.53726,,
11,0.45,0.77,0.06,4.5,0.34,0.2,0.13,64,9.71875,3.15914,0.315957,0.622856,,,0.39,0.77,0.03,5.08,0.26,0.22,0.17,61,12.0099,2.96225,0.566901,0.69181,,
12,0.14,0.64,0.13,22.46,0.18,0.24,0.69,89,15.2089,5.39688,7.70735,0.89352,,,0.15,0.62,0.11,20.79,0.17,0.23,0.74,56.0001,16.6312,4.35906,6.96155,0.83541,,
13,0.4,0.89,0.75,2.59,0.07,0.82,0.12,103,7.56354,9.43537,15.7435,0.188054,,,0.39,0.95,0.56,2.39,0.14,0.79,0.13,107,7.03613,9.24672,14.63,0.181302,,
14,0.93,0.72,0.36,12.63,0.84,0.05,0.11,35,9.89171,4.36814,2.0686,0.0231276,,,0.88,0.8,0.28,13.29,0.87,0.06,0.14,36,10.8015,4.93073,1.65414,0.0193775,,
15,0.92,0.59,0.84,17.73,0.31,0.71,0.2,39,6.93323,3.43539,1.39647,1.07808,,,0.57,0.43,0.63,18.51,0.3,0.74,0.19,38.9,8.53542,2.32995,1.8446,0.988226,,
16,0.87,0.07,0.22,8.12,0.38,0.46,0.75,132,10.2494,2.79163,6.97473,0.379511,,,0.88,0.09,0.15,7.8,0.44,0.39,0.73,122,9.49837,2.95776,6.05164,0.351064,,
17,0.13,0.59,0.52,7.2,0.86,0.83,0.54,127,13.958,2.0182,3.81356,1.6231,,,0.29,0.58,0.39,6.09,0.83,0.86,0.53,126,14.2997,0.26901,2.76585,1.53801,,
18,0.4,0.9,0.31,7.54,0.82,0.14,0.13,90,11.8023,7.25842,15.6344,0.465707,,,0.5,0.9,0.28,8.22,0.78,0.13,0.12,76.69999,11.283,3.21067,16.1831,0.490727,,
19,0.41,0.12,0.83,3.62,0.6,0.23,0.44,33,8.79328,6.23048,3.47195,0.875018,,,0.33,0.13,0.6,3.63,0.74,0.2,0.46,32,11.3055,5.73487,4.18613,0.868634,,
20,0.36,0.79,0.8,1.25,0.71,0.77,0.23,113,4.21469,2.9848,1.26677,1.44181,,,0.34,0.74,0.62,1.8,0.69,0.78,0.26,137,5.08758,1.35614,1.13012,1.40715,,
21,0.07,0.41,0.66,8.6,0.09,0.12,0.66,17,14.0798,9.28579,7.20507,1.58342,,,0.03,0.42,0.49,9.05,0.11,0.11,0.62,19,16.1638,10.9189,8.33942,1.81264,,
22,0.63,0.9,0.67,11.23,0.78,0.58,0.1,192,6.3146,5.92407,4.59337,0.133253,,,0.66,0.83,0.51,11.26,0.84,0.6,0.14,33.499965,6.50664,7.94037,4.36661,0.133275,,
23,0.14,0.59,0.87,7.34,0.92,0.3,0.11,144,0.160581,5.73074,4.85772,1.65629,,,0.13,0.54,0.63,6.75,0.9,0.33,0.13,108,0.11609,4.94072,5.15415,1.8033,,
24,0.7,0.68,0.77,3.51,0.43,0.15,0.12,103,4.49462,3.65548,0.978658,0.889911,,,0.66,0.73,0.55,3.63,0.35,0.19,0.11,79.29997,4.36301,4.35805,0.58415,1.01919,,
25,0.31,0.4,0.24,1.07,0.17,0.65,0.81,141,8.85943,9.33134,0.414067,0.500067,,,0.21,0.41,0.21,0.95,0.08,0.63,0.78,86.79995,7.34978,14.0967,0.332937,0.513134,,
26,0.12,0.97,0.11,0.79,0.62,0.62,0.04,155,0.149051,9.97006,10.025,1.14345,,,0.2,0.95,0.09,1.58,0.9,0.61,0.03,133,0.169281,11.4234,9.13174,1.03647,,
27,0.12,0.81,0.79,1.82,0.54,0.02,0.53,122,1.18033,7.34508,8.11222,1.22024,,,0.13,0.94,0.59,1.65,0.8,0.01,0.54,98,1.35928,6.76453,7.29206,1.08121,,
28,0.52,0.62,0.62,9.54,0.5,0.79,0.33,63,10.997,2.3549,12.9109,0.58947,,,0.53,0.6,0.47,9.53,0.54,0.73,0.33,62.30002,11.3319,2.68204,13.1147,0.578064,,
29,0.25,0.14,0.24,3.33,0.09,0.2,0.88,78,9.71436,6.14481,2.73291,1.01197,,,0.28,0.15,0.18,4.1,0.07,0.18,0.86,72.90001,9.96775,5.13053,3.27975,1.00103,,
30,0,0.65,0.51,4.42,0.86,0.27,0.23,152,9.18801,0.844963,10.9172,0.622453,,,0.09,0.62,0.39,4.76,0.59,0.33,0.21,129,8.56333,4.94827,11.0303,0.648536,,
