,Part,variable,value
0,1,Human,51
1,2,Human,58
2,3,Human,52
3,4,Human,53
4,5,Human,50
5,6,Human,53
6,7,Human,59
7,8,Human,52
8,9,Human,48
9,10,Human,54
10,11,Human,50
11,12,Human,50
12,13,Human,46
13,14,Human,41
14,15,Human,40
15,16,Human,51
16,17,Human,56
17,18,Human,41
18,19,Human,42
19,20,Human,45
20,21,Human,61
21,22,Human,41
22,23,Human,47
23,24,Human,44
24,25,Human,40
25,26,Human,54
26,27,Human,55
27,28,Human,23
28,29,Human,42
29,30,Human,45
30,1,Bias,39
31,2,Bias,45
32,3,Bias,30
33,4,Bias,30
34,5,Bias,29
35,6,Bias,44
36,7,Bias,30
37,8,Bias,35
38,9,Bias,42
39,10,Bias,39
40,11,Bias,29
41,12,Bias,31
42,13,Bias,39
43,14,Bias,38
44,15,Bias,32
45,16,Bias,38
46,17,Bias,45
47,18,Bias,34
48,19,Bias,29
49,20,Bias,29
50,21,Bias,26
51,22,Bias,35
52,23,Bias,43
53,24,Bias,37
54,25,Bias,45
55,26,Bias,45
56,27,Bias,36
57,28,Bias,39
58,29,Bias,27
59,30,Bias,34
60,1,eGreedy,60
61,2,eGreedy,60
62,3,eGreedy,64
63,4,eGreedy,58
64,5,eGreedy,60
65,6,eGreedy,58
66,7,eGreedy,51
67,8,eGreedy,57
68,9,eGreedy,50
69,10,eGreedy,53
70,11,eGreedy,49
71,12,eGreedy,56
72,13,eGreedy,57
73,14,eGreedy,68
74,15,eGreedy,65
75,16,eGreedy,56
76,17,eGreedy,63
77,18,eGreedy,55
78,19,eGreedy,63
79,20,eGreedy,50
80,21,eGreedy,63
81,22,eGreedy,64
82,23,eGreedy,59
83,24,eGreedy,64
84,25,eGreedy,54
85,26,eGreedy,63
86,27,eGreedy,57
87,28,eGreedy,52
88,29,eGreedy,57
89,30,eGreedy,47
90,1,Soft,60
91,2,Soft,62
92,3,Soft,66
93,4,Soft,58
94,5,Soft,61
95,6,Soft,55
96,7,Soft,56
97,8,Soft,63
98,9,Soft,53
99,10,Soft,57
100,11,Soft,52
101,12,Soft,61
102,13,Soft,62
103,14,Soft,68
104,15,Soft,68
105,16,Soft,59
106,17,Soft,61
107,18,Soft,54
108,19,Soft,57
109,20,Soft,47
110,21,Soft,65
111,22,Soft,67
112,23,Soft,67
113,24,Soft,68
114,25,Soft,50
115,26,Soft,55
116,27,Soft,62
117,28,Soft,51
118,29,Soft,54
119,30,Soft,56
120,1,WSLS,31
