,Part,variable,value
0,1.0,eGreedy,0.03353627802620851
1,2.0,eGreedy,0.3675277198514254
2,3.0,eGreedy,0.0002611452247587298
3,4.0,eGreedy,0.0018205353268836433
4,5.0,eGreedy,0.04689643385893838
5,6.0,eGreedy,0.07798548266510863
6,7.0,eGreedy,0.1285340813009812
7,8.0,eGreedy,0.17926948621079153
8,9.0,eGreedy,0.10889891031852394
9,10.0,eGreedy,0.2104037471795388
10,11.0,eGreedy,0.03897649604610054
11,12.0,eGreedy,0.08009138812375705
12,13.0,eGreedy,0.3006789587504918
13,14.0,eGreedy,0.043716680186902224
14,15.0,eGreedy,0.05930646113292881
15,16.0,eGreedy,0.19823615325079147
16,17.0,eGreedy,0.05592778313529356
17,18.0,eGreedy,0.07150170255925736
18,19.0,eGreedy,-0.037427500816295645
19,20.0,eGreedy,0.0003534757324044069
20,21.0,eGreedy,-0.05462912506413842
21,22.0,eGreedy,0.09665099077240946
22,23.0,eGreedy,0.310947757002801
23,24.0,eGreedy,0.12940886590929068
24,25.0,eGreedy,0.0012824421522052987
25,26.0,eGreedy,0.16991261048105066
26,27.0,eGreedy,0.004475731571763619
27,28.0,eGreedy,0.0730135010806443
28,29.0,eGreedy,0.1916483869762099
29,30.0,eGreedy,0.0556364856660535
30,1.0,Softmax,0.13724529297346466
31,2.0,Softmax,0.7078925936954484
32,3.0,Softmax,0.3078761040324788
33,4.0,Softmax,0.14955071504279804
34,5.0,Softmax,0.09671843502304778
35,6.0,Softmax,0.04103433162599879
36,7.0,Softmax,0.5977003418238179
37,8.0,Softmax,0.3053760516957371
38,9.0,Softmax,0.3994832232582496
39,10.0,Softmax,0.395398944817408
40,11.0,Softmax,0.2746487723813452
41,12.0,Softmax,0.3082615494551958
42,13.0,Softmax,0.47905073561635503
43,14.0,Softmax,0.16281387270642755
44,15.0,Softmax,0.09230135031862852
45,16.0,Softmax,0.42463854951750624
46,17.0,Softmax,0.19376827287583442
47,18.0,Softmax,0.08090553307175263
48,19.0,Softmax,0.012374534101798007
49,20.0,Softmax,0.0022392600584829614
50,21.0,Softmax,0.3495471931892379
51,22.0,Softmax,0.5464830307640256
52,23.0,Softmax,0.5303751624083479
53,24.0,Softmax,0.14951570315544493
54,25.0,Softmax,0.18703016118809668
55,26.0,Softmax,0.5706407903267814
56,27.0,Softmax,0.39665314103962135
57,28.0,Softmax,0.11635027375529805
58,29.0,Softmax,0.33115307584025866
59,30.0,Softmax,0.23595307345089556
60,1.0,WSLS,-0.12276961313363954
61,2.0,WSLS,-0.11642307911849059
62,3.0,WSLS,-0.24122760788661557
63,4.0,WSLS,0.03110519830189984
64,5.0,WSLS,-0.02564729509578756
