,Part,variable,value
0,1,Human,51
1,2,Human,58
2,3,Human,52
3,4,Human,53
4,5,Human,50
5,6,Human,53
6,7,Human,59
7,8,Human,52
8,9,Human,48
9,10,Human,54
10,11,Human,50
11,12,Human,50
12,13,Human,46
13,14,Human,41
14,15,Human,40
15,16,Human,51
16,17,Human,56
17,18,Human,41
18,19,Human,42
19,20,Human,45
20,21,Human,61
21,22,Human,41
22,23,Human,47
23,24,Human,44
24,25,Human,40
25,26,Human,54
26,27,Human,55
27,28,Human,23
28,29,Human,42
29,30,Human,45
30,1,Bias,40
31,2,Bias,29
32,3,Bias,42
33,4,Bias,32
34,5,Bias,40
35,6,Bias,35
36,7,Bias,44
37,8,Bias,31
38,9,Bias,17
39,10,Bias,24
40,11,Bias,18
41,12,Bias,40
42,13,Bias,46
43,14,Bias,46
44,15,Bias,28
45,16,Bias,39
46,17,Bias,48
47,18,Bias,30
48,19,Bias,37
49,20,Bias,40
50,21,Bias,30
51,22,Bias,20
52,23,Bias,35
53,24,Bias,20
54,25,Bias,34
55,26,Bias,33
56,27,Bias,35
57,28,Bias,31
58,29,Bias,38
59,30,Bias,42
60,1,eGreedy,47
61,2,eGreedy,42
62,3,eGreedy,47
63,4,eGreedy,46
64,5,eGreedy,46
65,6,eGreedy,44
66,7,eGreedy,54
67,8,eGreedy,48
68,9,eGreedy,46
69,10,eGreedy,66
70,11,eGreedy,41
71,12,eGreedy,35
72,13,eGreedy,48
73,14,eGreedy,51
74,15,eGreedy,43
75,16,eGreedy,44
76,17,eGreedy,57
77,18,eGreedy,47
78,19,eGreedy,50
79,20,eGreedy,47
80,21,eGreedy,55
81,22,eGreedy,45
82,23,eGreedy,58
83,24,eGreedy,61
84,25,eGreedy,45
85,26,eGreedy,66
86,27,eGreedy,46
87,28,eGreedy,48
88,29,eGreedy,49
89,30,eGreedy,47
90,1,Softmax,45
91,2,Softmax,57
92,3,Softmax,55
93,4,Softmax,52
94,5,Softmax,41
95,6,Softmax,57
96,7,Softmax,48
97,8,Softmax,46
98,9,Softmax,38
99,10,Softmax,52
100,11,Softmax,56
101,12,Softmax,45
102,13,Softmax,50
103,14,Softmax,55
104,15,Softmax,46
105,16,Softmax,48
106,17,Softmax,52
107,18,Softmax,54
108,19,Softmax,47
109,20,Softmax,52
110,21,Softmax,63
111,22,Softmax,44
112,23,Softmax,54
113,24,Softmax,48
114,25,Softmax,57
115,26,Softmax,63
116,27,Softmax,55
117,28,Softmax,36
